Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
-0.32,-2.74,1.81,0.99,-3.16,-3.26,-1.05,1,-2.32,-3.07,-1.89,-1.21,1.63,1.05,-2.03,-2.38,-1.16,0.74,2.99,-1.05,-1.37,-0.29,-3.04,-1.73
-0.26,-2.68,-0.41,-0.14,-3.11,-3.21,-1.03,-0.85,-2.26,-2.17,-1.84,-1.23,0.34,1.11,-2.03,-2.38,-1.11,0.79,2.99,-1,-1.32,-1.72,-3.04,-1.94
0.79,0.37,-0.42,-1,-0.68,3.11,-1.01,-3.02,-1.74,-1.14,-0.68,-1.24,-1.05,1.84,-2.01,-2.56,1.32,2.26,2.99,0.47,1.63,-2.64,-3.04,-1.96
1.11,0.63,-0.42,-1.73,-0.58,3.21,-0.98,-4.62,-1.63,0.11,-0.58,-1.24,-1.16,2.05,-2.01,-2.59,1.42,2.37,2.91,0.58,2,-3.04,-2.95,-1.82
1.21,0.63,-0.47,-2.56,-0.47,3.32,-0.96,-5.34,-1.53,1.4,-0.16,-1.26,-1.16,2.58,-2,-2.59,1.53,2.47,2.86,0.68,2,-4,-2.48,-1.46
1.42,0.68,-1.21,-3.17,-0.11,3.74,-0.94,-5.26,-1.42,2.01,0.05,-1.26,-1.29,2.84,-1.98,-2.59,1.95,2.58,2.82,1.58,2.05,-4.53,-1.69,-1
1.53,1.11,-1.47,-3.49,-0.11,4.05,-0.88,-4.98,-1.32,2.64,0.26,-1.29,-1.29,2.84,-1.96,-2.59,2.47,3.32,2.79,1.58,2.16,-4.58,-1.31,-0.31
1.95,1.37,-1.47,-3.57,-0.05,4.16,-0.86,-4.16,-1.11,2.75,0.68,-1.31,-1.39,2.89,-1.95,-2.62,2.58,3.42,2.75,1.68,2.42,-4.63,-1.28,0.16
2.05,1.37,-1.79,-3.17,0.05,4.26,-0.83,-2.38,-0.68,2.31,0.89,-1.33,-1.44,3,-1.93,-2.68,2.68,3.53,2.71,1.68,2.42,-4.21,-1.25,0.61
2.32,1.42,-1.79,-2.52,0.47,4.53,-0.79,-0.72,-0.58,1.24,1.11,-1.36,-1.44,3.37,-1.93,-2.75,3.05,3.84,2.66,1.79,2.16,-3.44,-1.23,1.23
2.32,1.95,-2,-1.76,1.53,4.53,-0.76,0.85,0.37,-0.14,1.21,-1.36,-1.48,3.37,-1.91,-2.78,3.05,3.95,2.63,1.79,1.95,-2.57,-1.23,1.65
2.42,2.21,-2,-1.04,1.63,4.63,-0.74,2.09,0.47,-1.69,2.21,-1.36,-1.59,3.47,-1.91,-2.87,3.16,4.32,2.59,1.89,1.89,-1.4,-1.21,2.03
2.42,2.21,-2.11,-0.17,1.74,4.63,-0.72,2.81,0.58,-2.92,2.21,-1.37,-1.59,3.47,-1.87,-2.99,3.16,4.32,2.51,1.89,1.89,-0.24,-1.18,2.27
2.53,2.53,-2.11,0.77,2.11,4.84,-0.68,3.31,0.95,-3.67,2.26,-1.39,-1.68,3.58,-1.87,-3.08,3.37,4.42,2.43,2,2,0.84,-1.16,2.36
2.53,2.53,-1.84,1.63,2.11,4.84,-0.66,3.56,1.05,-3.67,2.79,-1.42,-1.78,3.58,-1.85,-3.15,3.37,4.42,2.35,2,2,1.64,-1.16,2.36
2.42,2.58,-0.89,2.36,2.16,4.95,-0.64,3.77,1.11,-3.34,3,-1.45,-1.82,3.68,-1.84,-3.18,3.47,4.63,2.23,1.89,1.68,1.96,-1.14,2.36
2.42,2.79,-0.86,2.79,2.26,4.95,-0.61,3.74,1.74,-3.13,3.11,-1.46,-1.93,3.68,-1.84,-3.21,3.47,4.63,2.15,1.89,1.68,2.2,-1.12,2.36
2.32,3.05,2.47,2.91,2.68,5.05,-0.59,3.48,2.11,-3.07,3.42,-1.52,-1.97,3.79,-1.82,-3.24,3.58,4.74,1.99,1.79,1.37,1.87,-1.08,2.36
2.32,3.05,2.56,3.04,2.89,5.05,-0.57,2.71,2.11,,3.53,-1.53,-2.06,3.79,-1.82,-3.24,3.58,4.74,1.95,1.79,1.37,2.59,-1.08,2.36
2.21,3.16,2.53,3.22,3,5.16,-0.54,1.96,2.16,,3.84,-1.56,-2.12,3.89,-1.8,-3.24,3.68,4.84,1.75,1.68,1.16,3.07,-1.04,2.36
2.21,3.16,2.53,3.34,3.11,5.16,-0.52,0.96,2.47,,3.95,-1.58,-2.16,3.89,-1.79,-3.31,3.68,4.84,1.59,1.68,1.16,2.83,-1.01,2.36
2.11,3.21,2.32,3.37,3.47,5.26,-0.49,1,2.58,,4.21,-1.59,-2.25,3.63,-1.77,-3.36,3.79,4.74,1.47,1.58,1.05,2.38,-0.99,2.36
2.11,3.53,2.32,3.08,3.47,5.26,-0.46,,2.68,,4.21,-1.61,-2.25,3.53,-1.74,-3.39,3.79,4.74,1.43,1.58,1.05,1.91,-0.99,2.36
2,3.79,2,2.54,3.53,5.37,-0.44,,2.89,,4.53,-1.62,-2.31,3.37,-1.72,-3.42,3.68,4.63,1.39,1.47,0.79,0.68,-0.97,2.36
2,3.79,2,1.88,3.63,5.37,-0.42,,3.32,,4.53,-1.67,-2.36,3.37,-1.69,-3.42,3.68,4.63,1.23,1.47,-3,-0.21,-0.95,2.37
1.68,3.89,1.89,1.02,4,5.26,-0.39,,3.42,,4.84,-1.68,-2.4,3,-1.68,-3.42,3.58,4.32,1.12,1.37,-3.26,-0.29,-0.92,2.37
1.68,3.89,1.89,0.99,4,5.26,-0.37,,3.84,,4.84,-1.71,-2.45,2.89,-1.68,-3.42,3.58,4.32,0.96,1.37,-3.26,,-0.92,2.39
1.42,4.21,1.81,,4.11,5.16,-0.35,,4.42,,5.05,-1.72,-2.49,2.84,-1.66,-3.42,3.47,4.21,0.87,1.26,-3.47,,-0.89,2.39
1.11,4.21,,,4.11,5.16,-0.32,,4.42,,5.05,-1.72,-2.55,2.84,-1.64,-3.42,3.47,4.21,0.72,1.26,-3.47,,-0.87,2.39
0.89,4.32,,,4.32,5.05,-0.29,,4.53,,4.95,-1.74,-2.59,2.58,-1.64,-3.42,3.26,3.68,0.6,1.16,-3.58,,-0.84,2.39
0.05,4.32,,,4.32,5.05,-0.29,,4.53,,4.95,-1.75,-2.59,2.47,-1.63,-3.42,3.26,3.68,0.47,1.16,-3.58,,-0.82,2.39
-0.05,4.11,,,4.74,4.95,-0.27,,4.74,,4.84,-1.75,-2.64,2.37,-1.56,-3.42,3.16,3.58,0.44,1.05,-3.37,,-0.8,2.39
-1,4.11,,,4.74,4.95,-0.27,,4.74,,4.84,-1.79,-2.74,2.26,-1.54,-3.42,3.16,3.58,0.4,1.05,-3.37,,-0.77,2.4
-1.21,3.89,,,4.84,4.68,-0.24,,4.84,,4.63,-1.8,-2.79,2.05,-1.53,-3.42,2.79,3.47,0.32,0.95,-3.42,,-0.75,2.4
-1.42,3.89,,,4.84,4.58,-0.24,,4.84,,4.63,-1.8,-2.83,1.95,-1.53,-3.39,2.68,3.47,0.2,0.95,-3.84,,-0.73,2.39
