Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
3,4.89,2.03,5.05,4.37,3.11,2.18,3.48,5.21,2.31,4.37,1.91,4.46,3.32,-0.69,2.99,4.05,3.53,-3.69,3.63,4.37,4.47,-0.58,0.59
3.05,4.95,2.06,4.98,4.42,3.16,2.18,2.48,5.26,3.17,4.42,1.91,4.71,3.37,-0.72,2.96,4.11,3.58,-3.74,3.68,4.42,3.83,0.63,0.03
3.05,4.95,2.05,4.42,4.42,3.16,2.18,1.42,5.26,3.52,4.42,1.91,4.08,3.37,-0.77,2.78,4.11,3.58,-3.78,3.68,4.42,2.85,1.62,-0.46
2.74,4.68,1.84,3.24,4.32,3.05,2.2,0.75,5.16,3.33,4.32,1.89,3.94,3.16,-0.8,2.72,4,3.47,-3.78,3.58,4.05,1.98,2.32,-0.92
2.74,4.47,1.79,1.68,4.32,3.05,2.2,-0.32,5.16,3.12,4.32,1.89,3.88,3.16,-0.84,2.68,4,3.47,-3.78,3.58,3.95,0.98,3.12,-1.33
2.53,4.42,1.79,0.6,3.95,2.63,2.23,-1.45,5.05,2.33,4.11,1.87,3.79,2.89,-0.91,2.62,3.58,3.37,-3.78,2.68,3.89,0,3.38,-1.66
2.53,4.42,1.53,-0.64,3.84,2.63,2.23,-2.87,5.05,1.08,4.11,1.86,3.75,2.79,-0.96,2.59,3.58,3.37,-3.78,2.58,3.89,-0.89,3.23,-1.95
2.11,4.16,1.32,-1.48,3.79,2.53,2.23,-3.8,4.84,-0.32,3.68,1.86,3.69,2.74,-1.03,2.56,3.47,3.26,-3.78,2.47,3.63,-2.08,3.23,-1.98
2.11,3.95,1,-2.38,3.79,2.53,2.25,-3.84,4.84,-1.35,3.68,1.83,3.69,2.74,-1.11,2.46,3.47,3.26,-3.78,2.37,1.63,-3.12,3.23,-1.87
1.84,3.89,0.68,-3.77,3.37,2.26,2.25,-3.27,4.95,-2.36,3.47,1.81,3.65,2.37,-1.12,2.4,3.11,2.95,-3.78,2.26,1.37,-3.73,3.23,-1.67
1.53,3.89,0.47,-4.81,3.37,2.16,2.25,-2.48,4.95,-2.75,3.47,1.8,3.6,2.26,-1.19,2.28,3,2.95,-3.78,2.16,1.37,-4.34,3.21,-1.38
1.42,3.63,0.05,-5.26,3.26,2.05,2.25,-1.81,4.84,-2.59,2.47,1.78,3.51,2.16,-1.21,2.19,2.89,2.58,-3.78,2.05,1.32,-4.44,3.21,-1
1.11,3.42,-0.05,-5.51,3.26,1.95,2.25,-1.42,4.84,-1.82,2.05,1.77,3.45,2.05,-1.27,2,2.79,2.47,-3.78,1.74,1.11,-4.49,3.21,-0.62
