index,energy,applicator,ssd,factor
Simon #3 cutout,12,10,100,0.9683
Simon #6 cutout,12,10,100,0.9987
Simon #14 cutout,12,10,100,0.9587
Simon #16 cutout,12,10,100,1.0004
Simon #18 cutout,12,10,100,1.0019
Simon #19 cutout,12,10,100,0.9989
Simon #20 cutout,12,10,100,0.9634
Simon #22 cutout,12,10,100,0.9884
Simon #32 cutout,12,10,100,1.0067
Simon #33 cutout,12,10,100,0.9933
Simon #34 cutout,12,10,100,1.0067
Simon #38 cutout,12,10,100,0.9735
Simon #41 cutout,12,10,100,1.0052
Simon #43 cutout,12,10,100,0.9923
Simon #57 cutout,12,10,100,0.9437
Simon #58 cutout,12,10,100,0.9911
Simon #70 cutout,12,10,100,1.0028
Simon #73 cutout,12,10,100,1.0045
Simon #82 cutout,12,10,100,0.9991
Simon #83 cutout,12,10,100,0.9896
Simon #104 cutout,12,10,100,0.9934
Simon #106 cutout,12,10,100,0.9991
Simon #109 cutout,12,10,100,0.9931
Simon #112 cutout,12,10,100,0.9489
