index,energy,applicator,width,length,shape,ssd,factor
Simon 9cm circle,12,10,9,9,circle,100,1.0084
Simon 8cm circle,12,10,8,8,circle,100,1.0067
Simon 6cm circle,12,10,6,6,circle,100,0.9858
Simon 4cm circle,12,10,4,4,circle,100,0.9562
Simon 7cm circle,12,10,7,7,circle,100,1.0032
Simon 3cm circle,12,10,3,3,circle,100,0.9296
Simon 5cm circle,12,10,5,5,circle,100,0.9705
Simon 5x13cm oval,12,10,5,13,ellipse,100,0.9868
Simon 4x13cm oval,12,10,4,13,ellipse,100,0.9757
Simon 4x6.5cm oval,12,10,4,6.5,ellipse,100,0.9609
Simon 5x8cm oval,12,10,5,8,ellipse,100,0.9831
Simon 3x6.5cm oval,12,10,3,6.5,ellipse,100,0.9484
Simon 3x5cm oval,12,10,3,5,ellipse,100,0.9348
Simon 4x8cm oval,12,10,4,8,ellipse,100,0.9708
Simon 3x9cm oval,12,10,3,9,ellipse,100,0.9492
Simon 4x10cm oval,12,10,4,10,ellipse,100,0.9709
Simon 5x10cm oval,12,10,5,10,ellipse,100,0.9879
Simon 3x13cm oval,12,10,3,13,ellipse,100,0.953
