Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
-0.3,-2.6,1.72,0.94,-3,-3.1,-1,0.95,-2.2,-2.92,-1.8,-1.15,1.55,1,-1.93,-2.26,-1.1,0.7,2.84,-1,-1.3,-0.28,-2.89,-1.64
-0.25,-2.55,-0.39,-0.13,-2.95,-3.05,-0.98,-0.81,-2.15,-2.06,-1.75,-1.17,0.32,1.05,-1.93,-2.26,-1.05,0.75,2.84,-0.95,-1.25,-1.63,-2.89,-1.84
0.75,0.35,-0.4,-0.95,-0.65,2.95,-0.96,-2.87,-1.65,-1.08,-0.65,-1.18,-1,1.75,-1.91,-2.43,1.25,2.15,2.84,0.45,1.55,-2.51,-2.89,-1.86
1.05,0.6,-0.4,-1.64,-0.55,3.05,-0.93,-4.39,-1.55,0.1,-0.55,-1.18,-1.1,1.95,-1.91,-2.46,1.35,2.25,2.76,0.55,1.9,-2.89,-2.8,-1.73
1.15,0.6,-0.45,-2.43,-0.45,3.15,-0.91,-5.07,-1.45,1.33,-0.15,-1.2,-1.1,2.45,-1.9,-2.46,1.45,2.35,2.72,0.65,1.9,-3.8,-2.36,-1.39
1.35,0.65,-1.15,-3.01,-0.1,3.55,-0.89,-5,-1.35,1.91,0.05,-1.2,-1.23,2.7,-1.88,-2.46,1.85,2.45,2.68,1.5,1.95,-4.3,-1.61,-0.95
1.45,1.05,-1.4,-3.32,-0.1,3.85,-0.84,-4.73,-1.25,2.51,0.25,-1.23,-1.23,2.7,-1.86,-2.46,2.35,3.15,2.65,1.5,2.05,-4.35,-1.24,-0.29
1.85,1.3,-1.4,-3.39,-0.05,3.95,-0.82,-3.95,-1.05,2.61,0.65,-1.24,-1.32,2.75,-1.85,-2.49,2.45,3.25,2.61,1.6,2.3,-4.4,-1.22,0.15
1.95,1.3,-1.7,-3.01,0.05,4.05,-0.79,-2.26,-0.65,2.19,0.85,-1.26,-1.37,2.85,-1.83,-2.55,2.55,3.35,2.57,1.6,2.3,-4,-1.19,0.58
2.2,1.35,-1.7,-2.39,0.45,4.3,-0.75,-0.68,-0.55,1.18,1.05,-1.29,-1.37,3.2,-1.83,-2.61,2.9,3.65,2.53,1.7,2.05,-3.27,-1.17,1.17
2.2,1.85,-1.9,-1.67,1.45,4.3,-0.72,0.81,0.35,-0.13,1.15,-1.29,-1.41,3.2,-1.81,-2.64,2.9,3.75,2.5,1.7,1.85,-2.44,-1.17,1.57
