Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
2.85,4.65,1.93,4.8,4.15,2.95,2.07,3.31,4.95,2.19,4.15,1.81,4.24,3.15,-0.66,2.84,3.85,3.35,-3.51,3.45,4.15,4.25,-0.55,0.56
2.9,4.7,1.96,4.73,4.2,3,2.07,2.36,5,3.01,4.2,1.81,4.47,3.2,-0.68,2.81,3.9,3.4,-3.55,3.5,4.2,3.64,0.6,0.03
2.9,4.7,1.95,4.2,4.2,3,2.07,1.35,5,3.34,4.2,1.81,3.88,3.2,-0.73,2.64,3.9,3.4,-3.59,3.5,4.2,2.71,1.54,-0.44
2.6,4.45,1.75,3.08,4.1,2.9,2.09,0.71,4.9,3.16,4.1,1.8,3.74,3,-0.76,2.58,3.8,3.3,-3.59,3.4,3.85,1.88,2.2,-0.87
2.6,4.25,1.7,1.6,4.1,2.9,2.09,-0.3,4.9,2.96,4.1,1.8,3.69,3,-0.8,2.55,3.8,3.3,-3.59,3.4,3.75,0.93,2.96,-1.26
2.4,4.2,1.7,0.57,3.75,2.5,2.12,-1.38,4.8,2.21,3.9,1.78,3.6,2.75,-0.86,2.49,3.4,3.2,-3.59,2.55,3.7,0,3.21,-1.58
2.4,4.2,1.45,-0.61,3.65,2.5,2.12,-2.73,4.8,1.03,3.9,1.77,3.56,2.65,-0.91,2.46,3.4,3.2,-3.59,2.45,3.7,-0.85,3.07,-1.85
2,3.95,1.25,-1.41,3.6,2.4,2.12,-3.61,4.6,-0.3,3.5,1.77,3.51,2.6,-0.98,2.43,3.3,3.1,-3.59,2.35,3.45,-1.98,3.07,-1.88
2,3.75,0.95,-2.26,3.6,2.4,2.14,-3.65,4.6,-1.28,3.5,1.74,3.51,2.6,-1.05,2.34,3.3,3.1,-3.59,2.25,1.55,-2.96,3.07,-1.78
1.75,3.7,0.65,-3.58,3.2,2.15,2.14,-3.11,4.7,-2.24,3.3,1.72,3.47,2.25,-1.06,2.28,2.95,2.8,-3.59,2.15,1.3,-3.54,3.07,-1.59
1.45,3.7,0.45,-4.57,3.2,2.05,2.14,-2.36,4.7,-2.61,3.3,1.71,3.42,2.15,-1.13,2.17,2.85,2.8,-3.59,2.05,1.3,-4.12,3.05,-1.31
1.35,3.45,0.05,-5,3.1,1.95,2.14,-1.72,4.6,-2.46,2.35,1.69,3.33,2.05,-1.15,2.08,2.75,2.45,-3.59,1.95,1.25,-4.22,3.05,-0.95
1.05,3.25,-0.05,-5.23,3.1,1.85,2.14,-1.35,4.6,-1.73,1.95,1.68,3.28,1.95,-1.21,1.9,2.65,2.35,-3.59,1.65,1.05,-4.27,3.05,-0.59
