index,energy,applicator,ssd,factor
Simon #3 cutout,12,10,100,0.9683
Simon #6 cutout,12,10,100,0.9987
Simon #14 cutout,12,10,100,0.9587
Simon #16 cutout,12,10,100,1.0004
Simon #18 cutout,12,10,100,1.0019
Simon #19 cutout,12,10,100,0.9989
Simon #20 cutout,12,10,100,0.9634
Simon #22 cutout,12,10,100,0.9884
Simon #32 cutout,12,10,100,1.0067
Simon #33 cutout,12,10,100,0.9933
Simon #34 cutout,12,10,100,1.0067
Simon #38 cutout,12,10,100,0.9735
Simon #41 cutout,12,10,100,1.0052
Simon #43 cutout,12,10,100,0.9923
Simon #57 cutout,12,10,100,0.9437
Simon #58 cutout,12,10,100,0.9911
Simon #70 cutout,12,10,100,1.0028
Simon #73 cutout,12,10,100,1.0045
Simon #82 cutout,12,10,100,0.9991
Simon #83 cutout,12,10,100,0.9896
Simon #104 cutout,12,10,100,0.9934
Simon #106 cutout,12,10,100,0.9991
Simon #109 cutout,12,10,100,0.9931
Simon #112 cutout,12,10,100,0.9489
P2,9,6,100,0.9727626459
P3,12,10,100,0.999
P4,12,10,100,0.9442870633
P5_2,15,10,100,0.9960159363
P6,6,10,100,0.999000999
P7,6,10,100,0.995
P8,9,10,100,0.9775171065
P10,12,10,100,0.9602458229
P12_1,12,10,100,1.0145074566
P12_2,18,10,100,1.0049241282
P13,18,10,100,0.997
P14_1,9,14,100,1.0164667615
P14_2,9,14,100,1.0178117048
P15_1,12,14,100,1.0106114199
P15_2,15,14,100,1.0218679747
P17,9,10,100,1.0111223458
P18,9,14,100,1.0101010101
P19,15,14,100,1.0214504597
P20,6,14,100,1.0060362173
P21,12,14,100,1.002004008
P22,12,10,100,0.999000999
P23,6,14,100,1.0050251256
P24,6,10,100,0.9950248756
P25,9,10,100,0.9852216749
P26,9,14,100,1.0030090271
P27,15,14,100,1.0131712259
P28,15,10,100,1
P30,9,6,100,0.9596928983
P31_1,18,10,100,0.9910802775
P31_2,18,20,100,1.014198783
P32,9,20,100,1.0111223458
P33,6,14,100,0.999000999
P34_1,9,14,100,1.0064412238
P34_2,9,10,100,0.9975062344
P34_3,9,10,100,0.9971083857
P35_1,6,14,100,1.0090817356
P35_2,6,10,100,0.9943323059
P35_3,6,6,100,0.9389671362
P36_1,18,10,100,0.9936406995
P36_2,15,10,100,0.9908838684
P37_1,15,10,100,1.0050251256
P37_3,18,14,100,1.0131712259
P37_4,18,10,100,1.0080645161
P38_1,12,10,100,1.0101010101
P38_2,18,14,100,1.017293998
P38_3,6,14,100,1.0030090271
P40,12,10,100,0.9871668312
P41,9,20,100,1.0111223458
P42,18,10,100,0.998003992
P45,12,14,100,1.0090817356
P46,9,10,100,0.9606147935
P53,9,10,100,0.9756097561
