index,energy,applicator,width,length,shape,ssd,factor
Simon 9cm circle,12,10,9,9,circle,100,1.0084
Simon 8cm circle,12,10,8,8,circle,100,1.0067
Simon 6cm circle,12,10,6,6,circle,100,0.9858
Simon 4cm circle,12,10,4,4,circle,100,0.9562
Simon 7cm circle,12,10,7,7,circle,100,1.0032
Simon 3cm circle,12,10,3,3,circle,100,0.9296
Simon 5cm circle,12,10,5,5,circle,100,0.9705
Simon 5x13cm oval,12,10,5,13,ellipse,100,0.9868
Simon 4x13cm oval,12,10,4,13,ellipse,100,0.9757
Simon 4x6.5cm oval,12,10,4,6.5,ellipse,100,0.9609
Simon 5x8cm oval,12,10,5,8,ellipse,100,0.9831
Simon 3x6.5cm oval,12,10,3,6.5,ellipse,100,0.9484
Simon 3x5cm oval,12,10,3,5,ellipse,100,0.9348
Simon 4x8cm oval,12,10,4,8,ellipse,100,0.9708
Simon 3x9cm oval,12,10,3,9,ellipse,100,0.9492
Simon 4x10cm oval,12,10,4,10,ellipse,100,0.9709
Simon 5x10cm oval,12,10,5,10,ellipse,100,0.9879
Simon 3x13cm oval,12,10,3,13,ellipse,100,0.953
Standard 6MeV 6cm,6,6,6,6,square,100,1
Standard 9MeV 6cm,9,6,6,6,square,100,1
Standard 12MeV 6cm,12,6,6,6,square,100,1
Standard 15MeV 6cm,15,6,6,6,square,100,1
Standard 18MeV 6cm,18,6,6,6,square,100,1
Standard 6MeV 10cm,6,10,10,10,square,100,1
Standard 9MeV 10cm,9,10,10,10,square,100,1
Standard 12MeV 10cm,12,10,10,10,square,100,1
Standard 15MeV 10cm,15,10,10,10,square,100,1
Standard 18MeV 10cm,18,10,10,10,square,100,1
Standard 6MeV 14cm,6,14,14,14,square,100,1
Standard 9MeV 14cm,9,14,14,14,square,100,1
Standard 12MeV 14cm,12,14,14,14,square,100,1
Standard 15MeV 14cm,15,14,14,14,square,100,1
Standard 18MeV 14cm,18,14,14,14,square,100,1
Standard 6MeV 20cm,6,20,20,20,square,100,1
Standard 9MeV 20cm,9,20,20,20,square,100,1
Standard 12MeV 20cm,12,20,20,20,square,100,1
Standard 15MeV 20cm,15,20,20,20,square,100,1
Standard 18MeV 20cm,18,20,20,20,square,100,1
Standard 6MeV 25cm,6,25,25,25,square,100,1
Standard 9MeV 25cm,9,25,25,25,square,100,1
Standard 12MeV 25cm,12,25,25,25,square,100,1
Standard 15MeV 25cm,15,25,25,25,square,100,1
Standard 18MeV 25cm,18,25,25,25,square,100,1
